,track_id,id,name,followers,genres,popularity,extract_date
204,723BtHZOTCxN2xOselHQpG,6veh5zbFpm31XsPdjBgPER,BIA,432318,"['alternative r&b', 'pop', 'r&b', 'rap', 'rap latina', 'trap queen', 'viral rap']",71,2023-03-29
208,74FInvmyz8taG35p8QYU6J,3aVoqlJOYx31lH1gibGDt3,Babyface,931448,"['contemporary r&b', 'neo soul', 'quiet storm', 'r&b', 'urban contemporary']",61,2023-03-29
209,74FInvmyz8taG35p8QYU6J,4E2rKHVDssGJm2SCDOMMJB,Doechii,216027,"['alternative r&b', 'escape room', 'pop', 'r&b', 'rap', 'viral rap']",64,2023-03-29
212,76F9rF3pQjPm4i8KVwx9Yd,0EodhzA6yW1bIdD5B4tcmJ,Bobby Darin,496326,"['adult standards', 'easy listening', 'lounge', 'rock-and-roll', 'rockabilly', 'soul', 'vocal jazz']",63,2023-03-29
214,7EDmXSg0xZZT3NkcBjijCn,5bRLeMl4Tnozmg9wR1pY7y,Bruses,293059,"['indie triste', 'latin viral pop', 'urbano mexicano']",59,2023-03-29
216,7FEiuFp1Zo9rxehIquEtL2,0imE3buPhAowREqCrr4CYe,Peach Tree Rascals,213503,"['chill r&b', 'indie r&b', 'pop']",61,2023-03-29
218,7JADyHONoFkZr3Re80iwLy,5usbqiU7sjvszjWecANDL6,WESTSIDE BOOGIE,282558,"['hip hop', 'rap', 'underground hip hop']",62,2023-03-29
219,7JADyHONoFkZr3Re80iwLy,0QPC36N4aQVrUp0NzaSXHI,Mamii,3855,['indie r&b'],44,2023-03-29
222,7K0iKwKRqZcfT492oLOvSl,3wv682f2IGrweKNr4SlGeC,Neón,18999,['mexican rock'],38,2023-03-29
224,7MbfrPIsgFDVJifA7p7Evk,5Pb27ujIyYb33zBqVysBkj,RÜFÜS DU SOL,1258486,"['australian electropop', 'edm', 'indietronica']",73,2023-03-29
225,7MbfrPIsgFDVJifA7p7Evk,02DWGcShQivFepRvGJ7xhB,Adriatique,193885,"['deep disco house', 'melodic techno', 'swiss house']",56,2023-03-29
228,7bYhWHFq1bdgF75y0CE9E9,5CXdWANGwYYRPClH6hhC0P,Kid Bloom,178034,"['indie pop', 'modern rock']",57,2023-03-29
230,7flrjP7Dag40j2Fw8TX4iC,7blXVKBSxdFZsIqlhdViKc,Valley,186848,"['electropop', 'indie poptimism', 'indietronica', 'pop']",62,2023-03-29
232,7gsnOUqQD5rm2QhsnbTEpy,5fJsY7afrbsyzJj9wdzJMh,"Tito ""El Bambino""",3540233,"['latin hip hop', 'reggaeton', 'urbano latino']",69,2023-03-29
234,7lCJbb2VDyle5quhXkngaU,6RsLLSkSTcL4YrvgRcBTQd,Jimi Jules,26254,"['afro house', 'swiss house']",52,2023-03-29
235,7lCJbb2VDyle5quhXkngaU,2o5jDhtHVPhrJdv3cEQ99Z,Tiësto,6799603,"['big room', 'brostep', 'dutch edm', 'edm', 'house', 'pop', 'pop dance', 'slap house', 'trance', 'tropical house']",86,2023-03-29
238,36NzG0ptwi4k798mpIS3Oz,1pwr5rTWLVfqhvHfB7Reap,Zoot Sims,27884,"['bebop', 'cool jazz', 'hard bop', 'jazz', 'jazz saxophone']",42,2023-03-29
240,0AgMJriVSGWjN8WLaCqnDv,3UwlejyX2b458azZ7eCnHb,HyunA,2164093,['k-pop'],56,2023-03-29
241,0AgMJriVSGWjN8WLaCqnDv,38msH2cFK8ui3GvbWqumqk,Il Hoon Jung,1187,[],37,2023-03-29
244,0gcTaw7aYWnAKsgIYJsvAt,2vjeuQwzSP5ErC1S41gONX,CHANMINA,572223,"['j-rap', 'josei rap']",62,2023-03-29
