,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
1471,0.473,0.193,2,-9.184,1,0.0326,0.894,0.0,0.11,0.243,123.642,audio_features,1we9QlFOwfPnGoeU9KC8Am,spotify:track:1we9QlFOwfPnGoeU9KC8Am,https://api.spotify.com/v1/tracks/1we9QlFOwfPnGoeU9KC8Am,https://api.spotify.com/v1/audio-analysis/1we9QlFOwfPnGoeU9KC8Am,259012,3
1472,0.534,0.462,6,-9.383,1,0.0326,0.573,5.59e-06,0.0974,0.519,88.046,audio_features,4GfK1qOF3uBWidbPlTCQRL,spotify:track:4GfK1qOF3uBWidbPlTCQRL,https://api.spotify.com/v1/tracks/4GfK1qOF3uBWidbPlTCQRL,https://api.spotify.com/v1/audio-analysis/4GfK1qOF3uBWidbPlTCQRL,214567,4
1473,0.209,0.417,3,-8.74,1,0.0338,0.164,0.00196,0.113,0.124,138.178,audio_features,7LVHVU3tWfcxj5aiPFEW4Q,spotify:track:7LVHVU3tWfcxj5aiPFEW4Q,https://api.spotify.com/v1/tracks/7LVHVU3tWfcxj5aiPFEW4Q,https://api.spotify.com/v1/audio-analysis/7LVHVU3tWfcxj5aiPFEW4Q,295533,4
1474,0.545,0.65,7,-5.853,0,0.0315,0.00308,7.98e-06,0.122,0.121,143.937,audio_features,7sG2bWi2eDtvX9vX8yC1Gn,spotify:track:7sG2bWi2eDtvX9vX8yC1Gn,https://api.spotify.com/v1/tracks/7sG2bWi2eDtvX9vX8yC1Gn,https://api.spotify.com/v1/audio-analysis/7sG2bWi2eDtvX9vX8yC1Gn,233773,4
1475,0.618,0.776,2,-6.41,1,0.0282,0.0384,0.0,0.127,0.842,133.986,audio_features,5LqanqJSmZwbwPtIi2RwTb,spotify:track:5LqanqJSmZwbwPtIi2RwTb,https://api.spotify.com/v1/tracks/5LqanqJSmZwbwPtIi2RwTb,https://api.spotify.com/v1/audio-analysis/5LqanqJSmZwbwPtIi2RwTb,300513,4
1476,0.481,0.455,0,-5.942,1,0.0286,0.0743,0.0,0.0694,0.333,179.468,audio_features,0CgTuGTVzwPDd8o2rWH6DE,spotify:track:0CgTuGTVzwPDd8o2rWH6DE,https://api.spotify.com/v1/tracks/0CgTuGTVzwPDd8o2rWH6DE,https://api.spotify.com/v1/audio-analysis/0CgTuGTVzwPDd8o2rWH6DE,217773,4
1477,0.78,0.209,6,-12.2,1,0.0334,0.828,0.000167,0.106,0.644,97.009,audio_features,71NQP11KgFDEJzzrks7wcn,spotify:track:71NQP11KgFDEJzzrks7wcn,https://api.spotify.com/v1/tracks/71NQP11KgFDEJzzrks7wcn,https://api.spotify.com/v1/audio-analysis/71NQP11KgFDEJzzrks7wcn,241733,4
1478,0.76,0.435,5,-7.605,1,0.025,0.321,0.00029,0.496,0.562,88.012,audio_features,7Dh5s2tTX4eBzA2FRu03Z0,spotify:track:7Dh5s2tTX4eBzA2FRu03Z0,https://api.spotify.com/v1/tracks/7Dh5s2tTX4eBzA2FRu03Z0,https://api.spotify.com/v1/audio-analysis/7Dh5s2tTX4eBzA2FRu03Z0,247691,4
1479,0.494,0.582,0,-4.769,1,0.0266,0.102,0.0,0.0798,0.416,82.025,audio_features,1ejtHfSXQwvaAU7F82FXww,spotify:track:1ejtHfSXQwvaAU7F82FXww,https://api.spotify.com/v1/tracks/1ejtHfSXQwvaAU7F82FXww,https://api.spotify.com/v1/audio-analysis/1ejtHfSXQwvaAU7F82FXww,267853,4
1480,0.645,0.813,8,-5.947,0,0.0655,0.139,1.27e-06,0.211,0.476,145.027,audio_features,7IAXZyP3QSuvd5NQNOOYQB,spotify:track:7IAXZyP3QSuvd5NQNOOYQB,https://api.spotify.com/v1/tracks/7IAXZyP3QSuvd5NQNOOYQB,https://api.spotify.com/v1/audio-analysis/7IAXZyP3QSuvd5NQNOOYQB,190345,4
1481,0.538,0.96,5,-3.585,1,0.0503,0.0005,0.000433,0.847,0.377,128.029,audio_features,1HA522XVI9KXL4hnPwwUrx,spotify:track:1HA522XVI9KXL4hnPwwUrx,https://api.spotify.com/v1/tracks/1HA522XVI9KXL4hnPwwUrx,https://api.spotify.com/v1/audio-analysis/1HA522XVI9KXL4hnPwwUrx,127500,4
